,t,x,y,z,is_emissionpoint
0,0.0,3.86,3.8899999999999997,1.2000000000000002,1.0
1,0.001001001001001001,3.856766444230124,3.8874141730941774,1.2003999499504017,0.0
2,0.002002002002002002,3.8535522357841976,3.884821866207847,1.2007990008062157,0.0
3,0.003003003003003003,3.850357333228041,3.882223092339965,1.201197155275558,0.0
4,0.004004004004004004,3.847181695127478,3.879617864489492,1.201594416066546,0.0
5,0.005005005005005005,3.84402528004833,3.8770061956553845,1.2019907858872954,0.0
6,0.006006006006006006,3.8408880465564175,3.874388098836601,1.2023862674459223,0.0
7,0.007007007007007007,3.8377699532175633,3.8717635870320986,1.2027808634505424,0.0
8,0.008008008008008008,3.8346709585975876,3.8691326732408347,1.2031745766092725,0.0
9,0.009009009009009009,3.8315910212623137,3.8664953704617693,1.2035674096302293,0.0
10,0.01001001001001001,3.8285300997775633,3.863851691693858,1.2039593652215286,0.0
11,0.011011011011011011,3.8254881527091578,3.8612016499360604,1.2043504460912864,0.0
12,0.012012012012012012,3.8224651386229183,3.8585452581873336,1.2047406549476192,0.0
13,0.013013013013013013,3.8194610160846665,3.855882529446633,1.2051299944986427,0.0
14,0.014014014014014014,3.816475743660225,3.8532134767129214,1.2055184674524735,0.0
15,0.015015015015015015,3.8135092799154156,3.850538112985154,1.2059060765172285,0.0
16,0.016016016016016016,3.8105615834160593,3.84785645126229,1.206292824401023,0.0
17,0.017017017017017015,3.807632612727978,3.8451685045432846,1.2066787138119734,0.0
18,0.018018018018018018,3.8047223264169934,3.8424742858270977,1.207063747458196,0.0
19,0.01901901901901902,3.8018306830489275,3.839773808112687,1.2074479280478074,0.0
20,0.02002002002002002,3.7989576411896024,3.8370670843990107,1.2078312582889232,0.0
21,0.02102102102102102,3.7961031594048396,3.8343541276850264,1.2082137408896607,0.0
22,0.022022022022022022,3.7932671962604605,3.8316349509696916,1.2085953785581347,0.0
23,0.023023023023023025,3.7904497103222847,3.828909567251963,1.2089761740024616,0.0
24,0.024024024024024024,3.787650660156138,3.8261779895308012,1.2093561299307587,0.0
25,0.025025025025025023,3.78487000432784,3.823440230805163,1.2097352490511415,0.0
26,0.026026026026026026,3.7821077014032127,3.820696304074006,1.2101135340717266,0.0
27,0.02702702702702703,3.779363709948078,3.817946222336288,1.21049098770063,0.0
28,0.028028028028028028,3.776637988528256,3.815189998590966,1.2108676126459679,0.0
29,0.029029029029029027,3.7739304957095716,3.812427645837001,1.2112434116158564,0.0
30,0.03003003003003003,3.771241190057844,3.809659177073348,1.211618387318412,0.0
31,0.031031031031031032,3.7685700301388967,3.8068846052989653,1.2119925424617506,0.0
32,0.03203203203203203,3.7659169745185492,3.804103943512812,1.212365879753989,0.0
33,0.03303303303303303,3.7632819817626237,3.801317204713844,1.2127384019032426,0.0
34,0.03403403403403403,3.7606650104369437,3.7985244019010214,1.2131101116176282,0.0
35,0.035035035035035036,3.7580660191073307,3.795725548073301,1.2134810116052621,0.0
36,0.036036036036036036,3.755484966339605,3.7929206562296405,1.2138511045742604,0.0
37,0.037037037037037035,3.7529218106995885,3.790109739368999,1.2142203932327393,0.0
38,0.03803803803803804,3.7503765107531026,3.7872928104903316,1.2145888802888145,0.0
39,0.03903903903903904,3.7478490250659706,3.7844698825925995,1.2149565684506032,0.0
40,0.04004004004004004,3.745339312204014,3.781640968674759,1.2153234604262209,0.0
41,0.04104104104104104,3.7428473307330545,3.7788060817357674,1.2156895589237844,0.0
42,0.04204204204204204,3.740373039218912,3.7759652347745845,1.2160548666514095,0.0
43,0.043043043043043044,3.7379163962274085,3.7731184407901655,1.2164193863172121,0.0
44,0.044044044044044044,3.735477360324369,3.7702657127814714,1.2167831206293094,0.0
45,0.04504504504504504,3.7330558900756117,3.7674070637474575,1.217146072295817,0.0
46,0.04604604604604605,3.73065194404696,3.764542506687084,1.2175082440248512,0.0
47,0.04704704704704705,3.7282654808042346,3.761672054599305,1.2178696385245278,0.0
48,0.04804804804804805,3.7258964589132586,3.758795720483083,1.2182302585029636,0.0
49,0.04904904904904905,3.723544836939853,3.755913517337373,1.2185901066682752,0.0
50,0.050050050050050046,3.7212105734498393,3.753025458161134,1.218949185728578,0.0
51,0.05105105105105105,3.718893627009039,3.750131555953323,1.2193074983919885,0.0
52,0.05205205205205205,3.716593956183274,3.7472318237128976,1.2196650473666228,0.0
53,0.05305305305305305,3.7143115195383674,3.744326274438819,1.2200218353605978,0.0
54,0.05405405405405406,3.7120462756401396,3.7414149211300414,1.2203778650820287,0.0
55,0.055055055055055056,3.709798183054411,3.738497776785523,1.2207331392390324,0.0
56,0.056056056056056056,3.707567200347007,3.7355748544042244,1.2210876605397254,0.0
57,0.057057057057057055,3.7053532860837453,3.7326461669850994,1.2214414316922229,0.0
58,0.058058058058058054,3.7031563988304503,3.7297117275271097,1.221794455404642,0.0
59,0.05905905905905906,3.700976497152943,3.7267715490292117,1.2221467343850994,0.0
60,0.06006006006006006,3.6988135396170456,3.723825644490363,1.2224982713417096,0.0
61,0.06106106106106106,3.6966674847885783,3.7208740269095215,1.2228490689825902,0.0
62,0.062062062062062065,3.6945382912333633,3.717916709285645,1.2231991300158567,0.0
63,0.06306306306306306,3.6924259175172245,3.7149537046176926,1.223548457149626,0.0
64,0.06406406406406406,3.6903303222059813,3.7119850259046205,1.2238970530920141,0.0
65,0.06506506506506507,3.688251463865456,3.709010686145388,1.224244920551137,0.0
66,0.06606606606606606,3.6861893010614706,3.706030698338953,1.2245920622351112,0.0
67,0.06706706706706707,3.684143792359845,3.7030450754842703,1.2249384808520518,0.0
